stock weight,bond weight,real estate weight,Sharpe All,Sharpe 0,Sharpe 1,Sharpe 2,Sharpe,std Sharpe
0.02,0.46,0.52,0.517,0.508,0.698,0.99,0.73,0.2
0.02,0.47,0.51,0.498,0.488,0.695,0.973,0.72,0.2
0.02,0.49,0.49,0.461,0.44799999999999995,0.69,0.9390000000000001,0.69,0.2
0.02,0.51,0.47,0.425,0.408,0.6859999999999999,0.9059999999999999,0.67,0.2
0.02,0.52,0.46,0.40700000000000003,0.389,0.6829999999999999,0.89,0.65,0.21
0.02,0.53,0.45,0.39,0.37,0.6809999999999999,0.8740000000000001,0.64,0.21
0.02,0.54,0.44,0.374,0.35100000000000003,0.679,0.8590000000000001,0.63,0.21
0.02,0.55,0.43,0.35700000000000004,0.332,0.677,0.8440000000000001,0.62,0.21
0.02,0.56,0.42,0.341,0.313,0.675,0.8290000000000001,0.61,0.22
0.02,0.57,0.41,0.325,0.295,0.672,0.8140000000000001,0.59,0.22
0.02,0.58,0.4,0.31,0.27699999999999997,0.67,0.8,0.58,0.22
0.02,0.59,0.39,0.295,0.259,0.669,0.785,0.57,0.23
0.02,0.6,0.38,0.28,0.24100000000000002,0.667,0.7709999999999999,0.56,0.23
0.02,0.61,0.37,0.265,0.223,0.665,0.758,0.55,0.23
0.02,0.62,0.36,0.251,0.205,0.6629999999999999,0.7440000000000001,0.54,0.24
0.02,0.63,0.35,0.23600000000000002,0.188,0.6609999999999999,0.73,0.53,0.24
0.02,0.64,0.34,0.223,0.171,0.66,0.7170000000000001,0.52,0.25
0.02,0.65,0.33,0.209,0.154,0.6579999999999999,0.7040000000000001,0.51,0.25
0.02,0.66,0.32,0.196,0.13699999999999998,0.6559999999999999,0.691,0.49,0.25
0.02,0.67,0.31,0.183,0.12,0.655,0.679,0.48,0.26
0.02,0.68,0.3,0.17,0.10300000000000001,0.653,0.6659999999999999,0.47,0.26
0.02,0.69,0.29,0.157,0.087,0.652,0.654,0.46,0.27
0.02,0.7,0.28,0.145,0.071,0.65,0.642,0.45,0.27
0.02,0.71,0.27,0.133,0.055,0.649,0.63,0.44,0.28
0.02,0.72,0.26,0.121,0.039,0.647,0.618,0.43,0.28
0.02,0.73,0.25,0.11,0.023,0.6459999999999999,0.606,0.42,0.28
0.02,0.74,0.24,0.098,0.006999999999999999,0.644,0.595,0.42,0.29
0.02,0.75,0.23,0.087,-0.008,0.643,0.583,0.41,0.29
0.02,0.76,0.22,0.077,-0.023,0.6409999999999999,0.5720000000000001,0.4,0.3
0.02,0.77,0.21,0.066,-0.038,0.64,0.561,0.39,0.3
